Date,Four_cuts,Photoism,Haru_firm
2021-01-01,5.59105,1.43769,0
2021-01-02,4.07348,0.87859,0
2021-01-03,3.4345,1.9968,0
2021-01-04,2.87539,1.91693,0
2021-01-05,2.15654,2.79552,0
2021-01-06,2.71565,2.15654,0
2021-01-07,3.03514,1.75718,0
2021-01-08,3.67412,1.75718,0
2021-01-09,3.91373,0.79872,0
2021-01-10,3.19488,2.71565,0
2021-01-11,4.95207,2.15654,0
2021-01-12,4.47284,1.9968,0
2021-01-13,4.8722,2.47603,0
2021-01-14,4.23322,3.19488,0
2021-01-15,6.23003,1.83706,0
2021-01-16,5.27156,1.83706,0
2021-01-17,6.07028,1.9968,0
2021-01-18,4.63258,2.71565,0
2021-01-19,6.38977,2.79552,0
2021-01-20,4.95207,2.55591,0
2021-01-21,4.39297,2.47603,0
2021-01-22,4.23322,1.9968,0
2021-01-23,6.15015,2.87539,0
2021-01-24,9.7444,3.83386,0
2021-01-25,5.59105,2.71565,0
2021-01-26,7.98722,2.71565,0
2021-01-27,4.8722,2.63578,0
2021-01-28,4.47284,3.19488,0
2021-01-29,6.62939,2.55591,0
2021-01-30,7.82747,3.91373,0
2021-01-31,8.3067,3.67412,0
2021-02-01,7.98722,3.35463,0
2021-02-02,8.14696,4.79233,0
2021-02-03,4.79233,4.39297,0
2021-02-04,7.50798,3.35463,0
2021-02-05,8.46645,3.75399,0
2021-02-06,10.78274,4.63258,0
2021-02-07,10.22364,5.67092,0
2021-02-08,8.38658,4.95207,0
2021-02-09,6.3099,5.19169,0
2021-02-10,7.02875,4.31309,0
2021-02-11,6.78913,3.99361,0
2021-02-12,5.67092,3.59424,0
2021-02-13,9.66453,5.83067,0
2021-02-14,13.25878,5.03194,0
2021-02-15,6.62939,3.11501,0
2021-02-16,7.98722,5.83067,0
2021-02-17,17.17252,5.11182,0
2021-02-18,10.70287,5.59105,0
2021-02-19,10.78274,3.83386,0
2021-02-20,16.45367,4.55271,0
2021-02-21,17.97124,3.99361,0
2021-02-22,10.94249,4.31309,0
2021-02-23,9.82428,4.63258,0
2021-02-24,8.14696,4.39297,0
2021-02-25,9.10543,5.27156,0
2021-02-26,10.78274,5.27156,0
2021-02-27,16.77316,5.27156,0
2021-02-28,14.69648,5.83067,0
2021-03-01,8.94568,4.23322,0
2021-03-02,8.06709,2.47603,0
2021-03-03,9.42492,2.71565,0
2021-03-04,6.3099,6.07028,0
2021-03-05,7.66773,2.87539,0
2021-03-06,14.13738,4.63258,0
2021-03-07,14.69648,4.39297,0
2021-03-08,5.35143,3.19488,0
2021-03-09,7.18849,3.67412,0
2021-03-10,6.3099,3.27476,0
2021-03-11,4.95207,3.19488,0
2021-03-12,7.26837,1.83706,0
2021-03-13,13.17891,4.79233,0
2021-03-14,13.25878,3.99361,0
2021-03-15,6.70926,2.95527,0
2021-03-16,5.99041,1.9968,0
2021-03-17,5.27156,1.67731,0
