Date,Four_cuts,Photoism,Haru_firm
2021-01-01,14.94374,10.23163,0
2021-01-02,11.317,9.88749,0
2021-01-03,9.74189,9.21244,0
2021-01-04,7.82263,9.95367,0
2021-01-05,8.25943,8.86829,0
2021-01-06,7.92852,9.30509,0
2021-01-07,6.96227,8.41826,0
2021-01-08,7.7035,8.78888,0
2021-01-09,9.47716,7.9947,0
2021-01-10,9.14626,10.43017,0
2021-01-11,8.25943,9.3448,0
2021-01-12,8.03441,10.04632,0
2021-01-13,10.48312,10.37723,0
2021-01-14,9.70218,9.56982,0
2021-01-15,11.63467,8.61681,0
2021-01-16,13.99073,10.16545,0
2021-01-17,12.56121,10.4037,0
2021-01-18,9.75512,11.22435,0
2021-01-19,11.34348,12.15089,0
2021-01-20,11.68762,11.29053,0
2021-01-21,10.97286,11.83322,0
2021-01-22,12.28325,10.44341,0
2021-01-23,16.25413,13.5407,0
2021-01-24,18.13368,14.63931,0
2021-01-25,14.5996,15.14228,0
2021-01-26,12.79947,12.32296,0
2021-01-27,13.92455,12.98477,0
2021-01-28,12.15089,12.30972,0
2021-01-29,13.97749,12.70681,0
2021-01-30,18.49106,16.96889,0
2021-01-31,16.65122,19.69556,0
2021-02-01,13.5407,15.34083,0
2021-02-02,14.99669,15.71144,0
2021-02-03,14.52018,16.83653,0
2021-02-04,15.03639,18.8352,0
2021-02-05,17.16743,16.77035,0
2021-02-06,21.16479,24.57974,0
2021-02-07,19.81469,23.60026,0
2021-02-08,16.5718,20.92653,0
2021-02-09,15.76439,18.59695,0
2021-02-10,17.22038,17.39245,0
2021-02-11,16.53209,16.73064,0
2021-02-12,14.14956,14.77167,0
2021-02-13,21.03242,18.41164,0
2021-02-14,24.71211,19.8941,0
2021-02-15,15.89675,21.37657,0
2021-02-16,14.65254,22.01191,0
2021-02-17,19.17935,22.18398,0
2021-02-18,18.22634,20.35737,0
2021-02-19,20.67504,21.03242,0
2021-02-20,30.09927,24.24884,0
2021-02-21,27.86234,26.28722,0
2021-02-22,19.40436,23.89146,0
2021-02-23,19.40436,19.98676,0
2021-02-24,17.96161,23.29583,0
2021-02-25,18.2131,21.44275,0
2021-02-26,20.0,20.29119,0
2021-02-27,25.83719,23.26935,0
2021-02-28,25.71806,24.05029,0
2021-03-01,17.49834,18.31899,0
2021-03-02,11.99205,11.4626,0
2021-03-03,11.91264,14.41429,0
2021-03-04,12.13765,17.12772,0
2021-03-05,16.22766,13.59364,0
2021-03-06,24.32825,22.02514,0
2021-03-07,20.42356,18.62342,0
2021-03-08,11.76704,14.18927,0
2021-03-09,11.79351,14.5996,0
2021-03-10,14.22898,14.69225,0
2021-03-11,13.01125,14.53342,0
2021-03-12,14.8908,15.68497,0
2021-03-13,26.43282,21.13831,0
2021-03-14,20.42356,17.93514,0
2021-03-15,13.32892,16.02911,0
2021-03-16,12.21707,12.79947,0
2021-03-17,13.13037,13.726,0
2021-03-18,14.32164,14.85109,0
2021-03-19,17.61747,13.36863,0
2021-03-20,21.95896,17.7763,0
2021-03-21,20.23825,15.53937,0
2021-03-22,12.49503,14.454,0
2021-03-23,10.89344,12.91859,0
2021-03-24,12.91859,12.17736,0
2021-03-25,13.52746,12.03176,0
2021-03-26,16.81005,12.97154,0
2021-03-27,20.59563,17.14096,0
2021-03-28,18.17339,15.19523,0
2021-03-29,11.8994,11.70086,0
2021-03-30,13.13037,12.40238,0
2021-03-31,13.03772,10.28457,0
2021-04-01,13.48775,13.14361,0
2021-04-02,17.61747,13.06419,0
2021-04-03,18.72931,18.27928,0
2021-04-04,19.48378,14.70549,0
2021-04-05,11.68762,14.38782,0
2021-04-06,11.7538,11.64791,0
2021-04-07,13.79219,10.58901,0
2021-04-08,12.27001,11.19788,0
2021-04-09,16.41297,11.56849,0
2021-04-10,22.99139,16.66446,0
2021-04-11,19.28524,14.12309,0
2021-04-12,9.08007,11.54202,0
2021-04-13,9.11978,10.43017,0
2021-04-14,10.48312,11.63467,0
2021-04-15,11.4626,11.58173,0
2021-04-16,11.1714,11.01257,0
2021-04-17,19.66909,13.20979,0
2021-04-18,16.51886,13.07743,0
2021-04-19,10.19192,11.10522,0
2021-04-20,9.98014,10.99933,0
2021-04-21,9.70218,10.32428,0
2021-04-22,13.06419,11.35671,0
2021-04-23,14.75843,12.13765,0
2021-04-24,22.96492,17.31303,0
2021-04-25,19.57643,16.22766,0
2021-04-26,14.18927,13.44804,0
2021-04-27,13.2495,12.82594,0
2021-04-28,15.00992,16.69093,0
2021-04-29,16.46591,15.75115,0
2021-04-30,20.59563,18.22634,0
2021-05-01,25.89013,21.70747,0
2021-05-02,24.30178,20.59563,0
2021-05-03,16.38649,16.53209,0
2021-05-04,15.14228,14.41429,0
2021-05-05,30.41694,23.69291,0
2021-05-06,19.51025,16.63798,0
2021-05-07,19.33818,18.47782,0
2021-05-08,21.0589,18.91462,0
2021-05-09,22.47518,20.09265,0
2021-05-10,13.79219,14.52018,0
2021-05-11,16.135,13.97749,0
2021-05-12,15.18199,14.86432,0
2021-05-13,15.44672,13.38186,0
2021-05-14,20.15883,18.76902,0
2021-05-15,24.59298,18.79549,0
2021-05-16,18.80873,15.77763,0
2021-05-17,13.77895,12.27001,0
2021-05-18,18.18663,14.46724,0
2021-05-19,31.51555,23.75909,0
2021-05-20,15.12905,14.36135,0
2021-05-21,17.07478,17.24685,0
2021-05-22,28.04765,23.21641,0
2021-05-23,23.13699,19.72203,0
2021-05-24,12.98477,12.29649,0
2021-05-25,12.54798,11.64791,0
2021-05-26,13.09066,12.07147,0
2021-05-27,13.80542,12.25678,0
2021-05-28,31.29053,12.09794,0
2021-05-29,26.68431,16.96889,0
2021-05-30,22.46194,17.49834,0
2021-05-31,13.35539,11.18464,0
2021-06-01,13.67306,11.1714,0
2021-06-02,13.23626,11.6082,0
2021-06-03,11.80675,11.1714,0
2021-06-04,17.33951,10.74784,0
2021-06-05,28.08735,16.00264,0
2021-06-06,24.19589,15.56585,0
2021-06-07,14.46724,12.17736,0
2021-06-08,13.14361,11.07875,0
2021-06-09,13.20979,11.03904,0
2021-06-10,13.22303,11.55526,0
2021-06-11,14.86432,12.49503,0
2021-06-12,25.06949,16.63798,0
2021-06-13,20.31767,17.28656,0
2021-06-14,14.75843,12.44209,0
2021-06-15,14.79814,10.97286,0
2021-06-16,16.4262,13.75248,0
2021-06-17,18.45135,16.47915,0.06618
2021-06-18,21.21773,18.18663,0
2021-06-19,33.5407,23.6532,0
2021-06-20,25.90337,21.93249,0
